ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
141214	Nanga	answer	sá.á	1275.0
145795	Mombo_Dogon	answer	abuld.ʒuɡɔ	1275.0
148830	Donno_So_Dogon	answer	d.ʒabile	1275.0
149733	Ampari_Dogon	answer	jampe	1275.0
152048	Toro_Tegu_Dogon	answer	tʃísú	1275.0
152079	Toro_Tegu_Dogon	answer	tʃísó	1275.0
160760	Toro_Tegu_Dogon	answer	tʃísó	1275.0
160761	Toro_Tegu_Dogon	answer	tʃísú	1275.0
161454	Tiranige_Diga_Dogon	answer	tʃíɡírɔ́	1275.0
162063	Dogul_Dom_Dogon	answer	kíɡìlmè	1275.0
162064	Dogul_Dom_Dogon	answer	kísɛ̀	1275.0
162904	Donno_So_Dogon	answer	jàbìlɛ́.ɛ́	1275.0
162935	Donno_So_Dogon	answer	jábìlìj	1275.0
359	Tomo_Kan_Dogon	armpit	kì-kàrà	1886.0
1527	Guru_(Mali)	armpit	kìkàrá	1886.0
3490	Tomo_Kan_Dogon	armpit	kì-kàrà	1886.0
5264	Bankan_Tey_Dogon	armpit	árkɛ́n.dɛ̀	1886.0
5794	Togo_Kan	armpit	kàkàrá	1886.0
20927	Donno_So_Dogon	armpit	nùmɔ̀-kárù-kàrù	1886.0
25463	Toro_Tegu_Dogon	armpit	ìrkílá	1886.0
26067	Penange	armpit	kàrà-kàrà#súɡù	1886.0
26068	Penange	armpit	kàrà-kàrà	1886.0
30877	Mombo_Dogon	armpit	kárákárá	1886.0
30878	Mombo_Dogon	armpit	kárá-kárá#súɡù	1886.0
39044	Dogul_Dom_Dogon	armpit	kárà-kàrà	1886.0
44178	Jamsay_Dogon	armpit	kikara	1886.0
48620	Yorno_So	armpit	kí-kárú	1886.0
60839	Najamba	armpit	kàkàrá.à#kùl	1886.0
69578	Ben_Tey_Dogon	armpit	àrkɛ́lɛ̀	1886.0
75356	Yanda_Dom_Dogon	armpit	kà-kádà	1886.0
75357	Yanda_Dom_Dogon	armpit	kàɡádà	1886.0
88556	Dogul_Dom_Dogon	armpit	kárà-kàrà	1886.0
91278	Tebul_Ure_Dogon	armpit	kà-kàrá	1886.0
95727	Tommo_So_Dogon	armpit	ká-kárú	1886.0
101315	Tiranige_Diga_Dogon	armpit	kàrà-kàrà	1886.0
103264	Nanga	armpit	ɛ̀rɛ̀-ɡɛ̀n.dɛ̂	1886.0
103265	Nanga	armpit	ɛ̀rɛ̀-kɛ̀n.dɛ̂	1886.0
112069	Perge_Tegu	armpit	kà-kàrá	1886.0
118971	Jamsay_Dogon	armpit	kikara	1886.0
119451	Ana_Tinga_Dogon	armpit	kakaɗa	1886.0
120035	Tebul_Ure_Dogon	armpit	kàrá	1886.0
120440	Bankan_Tey_Dogon	armpit	árìkɛ́dɛ́	1886.0
121319	Yanda_Dom_Dogon	armpit	kakada	1886.0
122456	Bunoge_Dogon	armpit	karakara	1886.0
128803	Jamsay_Dogon	armpit	kì-kàrá	1886.0
129957	Tengou-Togo_Dogon	armpit	kaka.a	1886.0
131424	Dogul_Dom_Dogon	armpit	karkara	1886.0
131720	Tommo_So_Dogon	armpit	karkar	1886.0
132438	Nanga	armpit	ɛ̀rɛ̀-kɛ̀n.dɛ̂	1886.0
141139	Nanga	armpit	ɛ̀rɛ̀-kɛ̀n.dɛ̂	1886.0
143620	Mombo_Dogon	armpit	karakara	1886.0
144073	Mombo_Dogon	armpit	kárákárá#sùɡù	1886.0
145802	Mombo_Dogon	armpit	ɡuba	1886.0
148837	Donno_So_Dogon	armpit	karukaru	1886.0
149752	Ampari_Dogon	armpit	kátákátá	1886.0
152102	Toro_Tegu_Dogon	armpit	ìrkílá	1886.0
160820	Toro_Tegu_Dogon	armpit	ìrkílá	1886.0
161458	Tiranige_Diga_Dogon	armpit	kàràkàrà	1886.0
162031	Dogul_Dom_Dogon	armpit	káràkàrà	1886.0
162909	Donno_So_Dogon	armpit	nùmɔ̀kárùkàrù	1886.0
1530	Guru_(Mali)	arrow	kɛ̌m	977.0
5210	Bankan_Tey_Dogon	arrow	mùsù-tʃɛ̌m	977.0
5211	Bankan_Tey_Dogon	arrow	tòw-jí.ì	977.0
5212	Bankan_Tey_Dogon	arrow	tòw-tʃɛ̌m	977.0
5806	Togo_Kan	arrow	kɔ̀mɔ̀-kɛ̀.n-í.í.n	977.0
20932	Donno_So_Dogon	arrow	kè.è.n-í.ì	977.0
25458	Toro_Tegu_Dogon	arrow	tèj.n-ì-r.nú	977.0
26069	Penange	arrow	tɔ́.ɔ́-sé.è	977.0
30890	Mombo_Dogon	arrow	tɔ́.ɔ́.n#wé.é	977.0
44167	Jamsay_Dogon	arrow	tʃɛ̌m	977.0
48658	Yorno_So	arrow	kɛ́m	977.0
60774	Najamba	arrow	kɛ̀mɛ̀#dùr-í.ì	977.0
60775	Najamba	arrow	mɔ̀.ɔ̀sù-kɛ̀mɛ́	977.0
60776	Najamba	arrow	kɛ̀mɛ́	977.0
69473	Ben_Tey_Dogon	arrow	ɛ̀sɛ̀-ɡɛ̀rɛ̌j	977.0
69567	Ben_Tey_Dogon	arrow	mùn.d.ʒù-tʃɛ̀m-jí.ì	977.0
70100	Bunoge_Dogon	arrow	táw-sè	977.0
75358	Yanda_Dom_Dogon	arrow	tɛ́ŋ	977.0
91281	Tebul_Ure_Dogon	arrow	tó.ó	977.0
95364	Tommo_So_Dogon	arrow	tò.ò#tànnà.à-j	977.0
95555	Jamsay_Dogon	arrow	tɔ̀j.n-tʃɛ̌m	977.0
95681	Tommo_So_Dogon	arrow	tò.ò#tànnà.à-j	977.0
95682	Tommo_So_Dogon	arrow	tò.ò#kɛ̌m	977.0
103273	Nanga	arrow	tò.ò-kɛ̀mɛ̀-nd.ʒâ	977.0
103364	Nanga	arrow	ɛ̀sɛ̀-kɛ̀rɛ́	977.0
112093	Perge_Tegu	arrow	kɛ̌m	977.0
118973	Jamsay_Dogon	arrow	tʃɪm	977.0
119453	Ana_Tinga_Dogon	arrow	kɛm#e.e	977.0
128784	Jamsay_Dogon	arrow	kɛm	977.0
129958	Tengou-Togo_Dogon	arrow	kɛ.n	977.0
131391	Dogul_Dom_Dogon	arrow	kɛm	977.0
131681	Tommo_So_Dogon	arrow	to.o#inej	977.0
132427	Nanga	arrow	tò:ò-kɛ̀mɛ̀-nd.ʒâ	977.0
132578	Nanga	arrow	ɛ̀sɛ̀-kɛ̀rɛ́	977.0
141070	Nanga	arrow	ɛ̀sɛ̀-kɛ̀rɛ́	977.0
141160	Nanga	arrow	tò:ò-kɛ̀mɛ̀-nd.ʒâ	977.0
143658	Mombo_Dogon	arrow	kɛmɛ	977.0
145803	Mombo_Dogon	arrow	tɔ.nʃe	977.0
147938	Donno_So_Dogon	arrow	kem	977.0
148838	Donno_So_Dogon	arrow	kɛd.ʒŋ	977.0
149128	Mombo_Dogon	arrow	kɛm	977.0
149710	Ampari_Dogon	arrow	tá#suɡje	977.0
