ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
61066	Bankan_Tey_Dogon	pound	tóró#mì.ìní.í	354.0	1	A	T	3	3.T.C	2.0	tóró#mì.ìní.í	0	9420	tóró#mì.ìní.í
61067	Bankan_Tey_Dogon	pound	tóró	354.0	1	A	T	3	3.T.C	2.0	tóró	0	9420	tóró
61068	Bankan_Tey_Dogon	pound	ló.ó	354.0	5	A	L	3	3.L.C	2.0	ló.ó	0	9431	ló.ó
61069	Bankan_Tey_Dogon	pound	zàŋ.ɡí	354.0	3	A	S	3	3.S.C	2.0	zàŋ.ɡí	1	9446	zàŋ.ɡí
61070	Bankan_Tey_Dogon	pound	sɔ́ɡɔ́	354.0	3	A	S	3	3.S.C	2.0	sɔ́ɡɔ́	0	9446	sɔ́ɡɔ́
61456	Najamba	pound	nò.ò-nòj-ŋ.ɡé#tùŋàn	354.0	4	A	N	11	11.N.C	2.0	nò.ò-nòj-ŋ.ɡé#tùŋàn	0	9493	nò.ò-nòj-ŋ.ɡé#tùŋàn
61511	Bankan_Tey_Dogon	pound	lípà#kǎŋ	354.0	5	A	L	3	3.L.C	2.0	lípà#kǎŋ	0	9431	lípà#kǎŋ
61512	Bankan_Tey_Dogon	pound	ló.ó	354.0	5	A	L	3	3.L.C	2.0	ló.ó	1	9431	ló.ó
61513	Bankan_Tey_Dogon	pound	ló.ó	354.0	5	A	L	3	3.L.C	2.0	ló.ó	1	9431	ló.ó
61514	Bankan_Tey_Dogon	pound	dìjɛ́	354.0	1	A	T	3	3.T.C	2.0	dìjɛ́	1	9420	dìjɛ́
64908	Ben_Tey_Dogon	pound	d.ʒàŋ.ɡí	354.0	1	A	T	4	4.T.C	2.0	d.ʒàŋ.ɡí	0	9420	d.ʒàŋ.ɡí
65161	Ben_Tey_Dogon	pound	dùjɔ́	354.0	1	A	T	4	4.T.C	2.0	dùjɔ́	0	9420	dùjɔ́
65176	Ben_Tey_Dogon	pound	sárá	354.0	3	A	S	4	4.S.C	2.0	sárá	0	9446	sárá
65177	Ben_Tey_Dogon	pound	d.ʒàŋ.ɡí	354.0	1	A	T	4	4.T.C	2.0	d.ʒàŋ.ɡí	1	9420	d.ʒàŋ.ɡí
65178	Ben_Tey_Dogon	pound	d.ʒàŋí	354.0	1	A	T	4	4.T.C	2.0	d.ʒàŋí	0	9420	d.ʒàŋí
65179	Ben_Tey_Dogon	pound	pésé	354.0	1	A	P	4	4.P.C	2.0	pésé	0	9485	pésé
65180	Ben_Tey_Dogon	pound	tóró	354.0	1	A	T	4	4.T.C	2.0	tóró	0	9420	tóró
65181	Ben_Tey_Dogon	pound	tóró	354.0	1	A	T	4	4.T.C	2.0	tóró	1	9420	tóró
65182	Ben_Tey_Dogon	pound	lóɡó	354.0	5	A	L	4	4.L.C	2.0	lóɡó	0	9431	lóɡó
65183	Ben_Tey_Dogon	pound	sɔ́ɡɔ́	354.0	3	A	S	4	4.S.C	2.0	sɔ́ɡɔ́	0	9446	sɔ́ɡɔ́
65185	Ben_Tey_Dogon	pound	pó.ósó	354.0	1	A	P	4	4.P.C	2.0	pó.ósó	0	9485	pó.ósó
65186	Ben_Tey_Dogon	pound	lóɡó	354.0	5	A	L	4	4.L.C	2.0	lóɡó	1	9431	lóɡó
65187	Ben_Tey_Dogon	pound	líppɛ́	354.0	5	A	L	4	4.L.C	2.0	líppɛ́	0	9431	líppɛ́
65188	Ben_Tey_Dogon	pound	lóɡó	354.0	5	A	L	4	4.L.C	2.0	lóɡó	1	9431	lóɡó
65189	Ben_Tey_Dogon	pound	lóɡó	354.0	5	A	L	4	4.L.C	2.0	lóɡó	1	9431	lóɡó
65196	Ben_Tey_Dogon	pound	pó.ósó	354.0	1	A	P	4	4.P.C	2.0	pó.ósó	1	9485	pó.ósó
70626	Bunoge_Dogon	pound	dɔ́.ɔ́ŋ.ɡè#dɛ́.ɛ̀	354.0	1	A	T	5	5.T.C	2.0	dɔ́.ɔ́ŋ.ɡè#dɛ́.ɛ̀	0	9420	dɔ́.ɔ́ŋ.ɡè#dɛ́.ɛ̀
71377	Ben_Tey_Dogon	pound	jěj-jěj#tóró	354.0	6	A	J	4	4.J.C	2.0	jěj-jěj#tóró	0	9494	jěj-jěj#tóró
71827	Bunoge_Dogon	pound	ɡɔ́ɡɛ̀	354.0	1	A	K	5	5.K.C	2.0	ɡɔ́ɡɛ̀	0	9590	ɡɔ́ɡɛ̀
71828	Bunoge_Dogon	pound	tɛ́ŋ.ɡɛ̀	354.0	1	A	T	5	5.T.C	2.0	tɛ́ŋ.ɡɛ̀	0	9420	tɛ́ŋ.ɡɛ̀
