ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
88556	Dogul_Dom_Dogon	armpit	kárà-kàrà	1886
91278	Tebul_Ure_Dogon	armpit	kà-kàrá	1886
95727	Tommo_So_Dogon	armpit	ká-kárú	1886
101315	Tiranige_Diga_Dogon	armpit	kàrà-kàrà	1886
103264	Nanga	armpit	ɛ̀rɛ̀-ɡɛ̀n.dɛ̂	1886
103265	Nanga	armpit	ɛ̀rɛ̀-kɛ̀n.dɛ̂	1886
112069	Perge_Tegu	armpit	kà-kàrá	1886
118971	Jamsay_Dogon	armpit	kikara	1886
119451	Ana_Tinga_Dogon	armpit	kakaɗa	1886
120035	Tebul_Ure_Dogon	armpit	kàrá	1886
120440	Bankan_Tey_Dogon	armpit	árìkɛ́dɛ́	1886
121319	Yanda_Dom_Dogon	armpit	kakada	1886
122456	Bunoge_Dogon	armpit	karakara	1886
128803	Jamsay_Dogon	armpit	kì-kàrá	1886
129957	Tengou-Togo_Dogon	armpit	kaka.a	1886
131424	Dogul_Dom_Dogon	armpit	karkara	1886
131720	Tommo_So_Dogon	armpit	karkar	1886
132438	Nanga	armpit	ɛ̀rɛ̀-kɛ̀n.dɛ̂	1886
141139	Nanga	armpit	ɛ̀rɛ̀-kɛ̀n.dɛ̂	1886
143620	Mombo_Dogon	armpit	karakara	1886
144073	Mombo_Dogon	armpit	kárákárá#sùɡù	1886
145802	Mombo_Dogon	armpit	ɡuba	1886
148837	Donno_So_Dogon	armpit	karukaru	1886
149752	Ampari_Dogon	armpit	kátákátá	1886
152102	Toro_Tegu_Dogon	armpit	ìrkílá	1886
160820	Toro_Tegu_Dogon	armpit	ìrkílá	1886
161458	Tiranige_Diga_Dogon	armpit	kàràkàrà	1886
162031	Dogul_Dom_Dogon	armpit	káràkàrà	1886
162909	Donno_So_Dogon	armpit	nùmɔ̀kárùkàrù	1886
1530	Guru_(Mali)	arrow	kɛ̌m	977
5210	Bankan_Tey_Dogon	arrow	mùsù-tʃɛ̌m	977
5211	Bankan_Tey_Dogon	arrow	tòw-jí.ì	977
5212	Bankan_Tey_Dogon	arrow	tòw-tʃɛ̌m	977
5806	Togo_Kan	arrow	kɔ̀mɔ̀-kɛ̀.n-í.í.n	977
20932	Donno_So_Dogon	arrow	kè.è.n-í.ì	977
25458	Toro_Tegu_Dogon	arrow	tèj.n-ì-r.nú	977
26069	Penange	arrow	tɔ́.ɔ́-sé.è	977
30890	Mombo_Dogon	arrow	tɔ́.ɔ́.n#wé.é	977
44167	Jamsay_Dogon	arrow	tʃɛ̌m	977
