,Ampari_Dogon,Ana_Tinga_Dogon,Bankan_Tey_Dogon,Ben_Tey_Dogon,Bunoge_Dogon,Dogul_Dom_Dogon,Donno_So_Dogon,Guru_(Mali),Jamsay_Dogon,Mombo_Dogon,Najamba,Nanga,Penange,Perge_Tegu,Tebul_Ure_Dogon,Tengou-Togo_Dogon,Tiranige_Diga_Dogon,Togo_Kan,Tommo_So_Dogon,Tomo_Kan_Dogon,Toro_Tegu_Dogon,Yanda_Dom_Dogon,Yorno_So
Najamba,0.3959731543624161,0.3705035971223022,0.25,0.2433333333333333,0.3913043478260869,0.2433333333333333,0.33999999999999997,0.42592592592592593,0.27,0.21666666666666667,0.0,0.24,0.3277591973244147,0.2751677852348994,0.31666666666666665,0.41666666666666663,0.2642140468227425,0.29666666666666663,0.27,0.4128440366972477,0.32999999999999996,0.22999999999999998,0.29666666666666663
Nanga,0.3959731543624161,0.3453237410071942,0.1433333333333333,0.10666666666666669,0.4247491638795987,0.2566666666666667,0.2433333333333333,0.31851851851851853,0.18666666666666665,0.2566666666666667,0.24,0.0,0.3712374581939799,0.17449664429530198,0.22999999999999998,0.32638888888888884,0.30434782608695654,0.22666666666666668,0.21333333333333337,0.37155963302752293,0.20999999999999996,0.20666666666666667,0.20999999999999996
Penange,0.3602693602693603,0.552346570397112,0.4381270903010034,0.4013377926421404,0.3355704697986577,0.3745819397993311,0.45150501672240806,0.5576208178438662,0.4013377926421404,0.12374581939799334,0.3277591973244147,0.3712374581939799,0.0,0.44107744107744107,0.4548494983277592,0.5331010452961673,0.3221476510067114,0.4147157190635451,0.37792642140468224,0.5622119815668203,0.4682274247491639,0.4046822742474916,0.4147157190635451
Perge_Tegu,0.44594594594594594,0.3695652173913043,0.21476510067114096,0.13758389261744963,0.46464646464646464,0.2986577181208053,0.20134228187919467,0.17910447761194026,0.07718120805369133,0.31543624161073824,0.2751677852348994,0.17449664429530198,0.44107744107744107,0.0,0.261744966442953,0.27622377622377625,0.3804713804713805,0.18120805369127513,0.17114093959731547,0.33333333333333337,0.19798657718120805,0.21812080536912748,0.13758389261744963
Tebul_Ure_Dogon,0.4832214765100671,0.26618705035971224,0.2366666666666667,0.18666666666666665,0.49498327759197325,0.30666666666666664,0.28,0.34444444444444444,0.21666666666666667,0.2866666666666666,0.31666666666666665,0.22999999999999998,0.4548494983277592,0.261744966442953,0.0,0.40625,0.34448160535117056,0.2866666666666666,0.2366666666666667,0.37155963302752293,0.2833333333333333,0.14,0.23333333333333328
Tengou-Togo_Dogon,0.520979020979021,0.4849624060150376,0.3993055555555556,0.3402777777777778,0.5714285714285714,0.3819444444444444,0.2222222222222222,0.3798449612403101,0.20833333333333337,0.36111111111111116,0.41666666666666663,0.32638888888888884,0.5331010452961673,0.27622377622377625,0.40625,0.0,0.47038327526132406,0.11805555555555558,0.2569444444444444,0.3188405797101449,0.3680555555555556,0.35763888888888884,0.24305555555555558
Tiranige_Diga_Dogon,0.41414141414141414,0.48014440433213,0.3277591973244147,0.29431438127090304,0.40268456375838924,0.2976588628762542,0.36454849498327757,0.5055762081784387,0.3612040133779264,0.21070234113712372,0.2642140468227425,0.30434782608695654,0.3221476510067114,0.3804713804713805,0.34448160535117056,0.47038327526132406,0.0,0.3846153846153846,0.3311036789297659,0.43317972350230416,0.40802675585284276,0.29431438127090304,0.35785953177257523
Togo_Kan,0.4429530201342282,0.37410071942446044,0.29333333333333333,0.20666666666666667,0.47157190635451507,0.28,0.17333333333333334,0.22962962962962963,0.11333333333333329,0.2733333333333333,0.29666666666666663,0.22666666666666668,0.4147157190635451,0.18120805369127513,0.2866666666666666,0.11805555555555558,0.3846153846153846,0.0,0.1433333333333333,0.22018348623853212,0.23333333333333328,0.2433333333333333,0.15000000000000002
Tommo_So_Dogon,0.37583892617449666,0.2985611510791367,0.2766666666666666,0.19666666666666666,0.39799331103678925,0.18999999999999995,0.06999999999999995,0.28148148148148144,0.1433333333333333,0.22999999999999998,0.27,0.21333333333333337,0.37792642140468224,0.17114093959731547,0.2366666666666667,0.2569444444444444,0.3311036789297659,0.1433333333333333,0.0,0.25688073394495414,0.21999999999999997,0.17333333333333334,0.09666666666666668
Tomo_Kan_Dogon,0.4907407407407407,0.5482233502538071,0.38990825688073394,0.3302752293577982,0.543778801843318,0.4311926605504587,0.3211009174311926,0.46596858638743455,0.2522935779816514,0.3807339449541285,0.4128440366972477,0.37155963302752293,0.5622119815668203,0.33333333333333337,0.37155963302752293,0.3188405797101449,0.43317972350230416,0.22018348623853212,0.25688073394495414,0.0,0.3211009174311926,0.3532110091743119,0.3348623853211009
Toro_Tegu_Dogon,0.4731543624161074,0.40287769784172667,0.2666666666666667,0.21999999999999997,0.47491638795986624,0.3533333333333334,0.2666666666666667,0.274074074074074,0.17333333333333334,0.3433333333333334,0.32999999999999996,0.20999999999999996,0.4682274247491639,0.19798657718120805,0.2833333333333333,0.3680555555555556,0.40802675585284276,0.23333333333333328,0.21999999999999997,0.3211009174311926,0.0,0.26,0.2433333333333333
Yanda_Dom_Dogon,0.41946308724832215,0.1079136690647482,0.26,0.18999999999999995,0.4581939799331104,0.22666666666666668,0.22999999999999998,0.3296296296296296,0.20333333333333337,0.23333333333333328,0.22999999999999998,0.20666666666666667,0.4046822742474916,0.21812080536912748,0.14,0.35763888888888884,0.29431438127090304,0.2433333333333333,0.17333333333333334,0.3532110091743119,0.26,0.0,0.19333333333333336
Yorno_So,0.40604026845637586,0.3381294964028777,0.27,0.19333333333333336,0.43143812709030105,0.2533333333333333,0.12,0.2407407407407407,0.14,0.2533333333333333,0.29666666666666663,0.20999999999999996,0.4147157190635451,0.13758389261744963,0.23333333333333328,0.24305555555555558,0.35785953177257523,0.15000000000000002,0.09666666666666668,0.3348623853211009,0.2433333333333333,0.19333333333333336,0.0
